Project,Antipattern,File,Line from,Line to,Comment
alvin-qh/study-java,Keyless Entry,springboot/jooq/src/jooq/java/alvin/study/springboot/jooq/infra/model/public_/tables/Department.java,84,84,Viide user tabeli primaarvõtmele
alvin-qh/study-java,Keyless Entry,springboot/jooq/src/jooq/java/alvin/study/springboot/jooq/infra/model/public_/tables/Department.java,89,89,Viide user tabeli primaarvõtmele
alvin-qh/study-java,ID Required,springboot/jooq/src/jooq/java/alvin/study/springboot/jooq/infra/model/public_/tables/DepartmentEmployee.java,61,61,"createField(DSL.name(""id"") suured tähed"
alvin-qh/study-java,Keyless Entry,springboot/jooq/src/jooq/java/alvin/study/springboot/jooq/infra/model/public_/tables/DepartmentEmployee.java,66,66,Viide org tabeli primaarvõtmele
alvin-qh/study-java,Keyless Entry,springboot/jooq/src/jooq/java/alvin/study/springboot/jooq/infra/model/public_/tables/DepartmentEmployee.java,71,71,Viide employee tabeli primaarvõtmele
alvin-qh/study-java,Keyless Entry,springboot/jooq/src/jooq/java/alvin/study/springboot/jooq/infra/model/public_/tables/DepartmentEmployee.java,76,76,Viide department tabeli primaarvõtmele
alvin-qh/study-java,Keyless Entry,springboot/jooq/src/jooq/java/alvin/study/springboot/jooq/infra/model/public_/tables/DepartmentEmployee.java,86,86,Viide user tabeli primaarvõtmele
alvin-qh/study-java,Keyless Entry,springboot/jooq/src/jooq/java/alvin/study/springboot/jooq/infra/model/public_/tables/DepartmentEmployee.java,91,91,Viide user tabeli primaarvõtmele
alvin-qh/study-java,ID Required,springboot/jooq/src/jooq/java/alvin/study/springboot/jooq/infra/model/public_/tables/Employee.java,61,61,"createField(DSL.name(""id"") suured tähed"
alvin-qh/study-java,Keyless Entry,springboot/jooq/src/jooq/java/alvin/study/springboot/jooq/infra/model/public_/tables/Employee.java,66,66,Viide org tabeli primaarvõtmele
alvin-qh/study-java,Fear of the Unknown,springboot/jooq/src/jooq/java/alvin/study/springboot/jooq/infra/model/public_/tables/Employee.java,86,86,puuduva väärtuse tähistamiseks kasutusel tühi sõne
alvin-qh/study-java,Keyless Entry,springboot/jooq/src/jooq/java/alvin/study/springboot/jooq/infra/model/public_/tables/Employee.java,96,96,Viide user tabeli primaarvõtmele
alvin-qh/study-java,Keyless Entry,springboot/jooq/src/jooq/java/alvin/study/springboot/jooq/infra/model/public_/tables/Employee.java,101,101,Viide user tabeli primaarvõtmele
alvin-qh/study-java,ID Required,springboot/jooq/src/jooq/java/alvin/study/springboot/jooq/infra/model/public_/tables/Org.java,59,59,"createField(DSL.name(""id"") suured tähed"
alvin-qh/study-java,ID Required,springboot/jooq/src/jooq/java/alvin/study/springboot/jooq/infra/model/public_/tables/User.java,61,61,"createField(DSL.name(""id"") suured tähed"
alvin-qh/study-java,Keyless Entry,springboot/jooq/src/jooq/java/alvin/study/springboot/jooq/infra/model/public_/tables/User.java,66,66,Viide org tabeli primaarvõtmele
alvin-qh/study-java,Keyless Entry,springboot/jooq/src/jooq/java/alvin/study/springboot/jooq/infra/model/public_/tables/User.java,91,91,Viide user tabeli primaarvõtmele
alvin-qh/study-java,Keyless Entry,springboot/jooq/src/jooq/java/alvin/study/springboot/jooq/infra/model/public_/tables/User.java,96,96,Viide user tabeli primaarvõtmele
alvin-qh/study-java,Implicit Columns,springboot/jooq/src/main/java/alvin/study/springboot/jooq/infra/repository/DepartmentRepository.java,38,38,select
alvin-qh/study-java,Implicit Columns,springboot/jooq/src/main/java/alvin/study/springboot/jooq/infra/repository/DepartmentRepository.java,66,66,TABLE.fields()
alvin-qh/study-java,Implicit Columns,springboot/jooq/src/main/java/alvin/study/springboot/jooq/infra/repository/DepartmentRepository.java,67,67,TABLE.fields()
alvin-qh/study-java,Implicit Columns,springboot/jooq/src/main/java/alvin/study/springboot/jooq/infra/repository/DepartmentRepository.java,97,97,TABLE.fields()
alvin-qh/study-java,Implicit Columns,springboot/jooq/src/main/java/alvin/study/springboot/jooq/infra/repository/DepartmentRepository.java,98,98,TABLE.fields()
alvin-qh/study-java,Implicit Columns,springboot/jooq/src/main/java/alvin/study/springboot/jooq/infra/repository/EmployeeRepository.java,38,38,select
alvin-qh/study-java,Implicit Columns,springboot/jooq/src/main/java/alvin/study/springboot/jooq/infra/repository/EmployeeRepository.java,62,62,TABLE.fields()
alvin-qh/study-java,Implicit Columns,springboot/jooq/src/main/java/alvin/study/springboot/jooq/infra/repository/EmployeeRepository.java,63,63,TABLE.fields()
alvin-qh/study-java,Implicit Columns,springboot/jooq/src/main/java/alvin/study/springboot/jooq/infra/repository/OrgRepository.java,61,61,returning(TABLE.fields())
alvin-qh/study-java,Implicit Columns,springboot/jooq/src/main/java/alvin/study/springboot/jooq/infra/repository/OrgRepository.java,137,137,select
alvin-qh/study-java,Implicit Columns,springboot/jooq/src/main/java/alvin/study/springboot/jooq/infra/repository/UserRepository.java,32,32,select
alvin-qh/study-java,Implicit Columns,springboot/jooq/src/main/java/alvin/study/springboot/jooq/infra/repository/UserRepository.java,51,51,select
anyamilichenko/soa,ID Required,src/main/generated/com/soa_service_a/jooq/tables/Coordinates.java,65,65,"createField(DSL.name(""id"")"
anyamilichenko/soa,Rounding Errors,src/main/generated/com/soa_service_a/jooq/tables/Coordinates.java,75,75,Y-koordinaat
anyamilichenko/soa,ID Required,src/main/generated/com/soa_service_a/jooq/tables/Dragon.java,67,67,"createField(DSL.name(""id"")"
anyamilichenko/soa,ID Required,src/main/generated/com/soa_service_a/jooq/tables/DragonHead.java,61,61,"createField(DSL.name(""id"")"
anyamilichenko/soa,ID Required,build/generated-src/jooq/main/com/soa_service_a/jooq/tables/Coordinates.java,65,65,"createField(DSL.name(""id"")"
anyamilichenko/soa,Rounding Errors,build/generated-src/jooq/main/com/soa_service_a/jooq/tables/Coordinates.java,75,75,Y-koordinaat
anyamilichenko/soa,ID Required,build/generated-src/jooq/main/com/soa_service_a/jooq/tables/Dragon.java,67,67,"createField(DSL.name(""id"")"
anyamilichenko/soa,ID Required,build/generated-src/jooq/main/com/soa_service_a/jooq/tables/DragonHead.java,61,61,"createField(DSL.name(""id"")"
anyamilichenko/soa,Implicit Columns,src/main/java/coordinates/adapter/jdbc/CoordinatesDAO.java,27,27,.returning()
anyamilichenko/soa,Implicit Columns,src/main/java/coordinates/adapter/jdbc/CoordinatesDAO.java,37,37,.returning()
anyamilichenko/soa,Implicit Columns,src/main/java/coordinates/adapter/jdbc/CoordinatesDAO.java,44,44,.selectFrom()
anyamilichenko/soa,Implicit Columns,src/main/java/dragon/adapter/jdbc/DragonDAO.java,32,32,.returning()
anyamilichenko/soa,Implicit Columns,src/main/java/dragon/adapter/jdbc/DragonDAO.java,40,40,.returning()
anyamilichenko/soa,Implicit Columns,src/main/java/dragon/adapter/jdbc/DragonDAO.java,46,46,.selectFrom()
anyamilichenko/soa,Implicit Columns,src/main/java/dragon/adapter/jdbc/DragonDAO.java,84,84,.selectFrom()
anyamilichenko/soa,Poor Man’s Search Engine,src/main/java/dragon/adapter/jdbc/DragonDAO.java,165,165,likeIgnoreCase(% … %)
anyamilichenko/soa,Implicit Columns,src/main/java/dragon/adapter/jdbc/DragonDAO.java,267,267,TABLE.fields()
anyamilichenko/soa,Implicit Columns,src/main/java/dragonHead/adapter/jdbc/DragonHeadDAO.java,29,29,.returning()
anyamilichenko/soa,Implicit Columns,src/main/java/dragonHead/adapter/jdbc/DragonHeadDAO.java,38,38,.returning()
anyamilichenko/soa,Implicit Columns,src/main/java/dragonHead/adapter/jdbc/DragonHeadDAO.java,44,44,.selectFrom()
auliardana/Java-orm-jooq,ID Required,src/main/java/org/example/generated_sources/tables/Mahasiswa.java,56,56,"createField(DSL.name(""id"")"
aytdm/study,ID Required,005_springboot-jooq/src/main/java/com/aytdm/springbootjooq/domain/db/world/tables/City.java,62,62,createField(“ID” 
aytdm/study,Fear of the Unknown,005_springboot-jooq/src/main/java/com/aytdm/springbootjooq/domain/db/world/tables/City.java,67,67,puuduva väärtuse tähistamiseks kasutusel tühi sõne
aytdm/study,Fear of the Unknown,005_springboot-jooq/src/main/java/com/aytdm/springbootjooq/domain/db/world/tables/City.java,72,72,puuduva väärtuse tähistamiseks kasutusel tühi sõne
aytdm/study,Fear of the Unknown,005_springboot-jooq/src/main/java/com/aytdm/springbootjooq/domain/db/world/tables/City.java,77,77,puuduva väärtuse tähistamiseks kasutusel tühi sõne
aytdm/study,Fear of the Unknown,005_springboot-jooq/src/main/java/com/aytdm/springbootjooq/domain/db/world/tables/Country.java,62,62,puuduva väärtuse tähistamiseks kasutusel tühi sõne
aytdm/study,Fear of the Unknown,005_springboot-jooq/src/main/java/com/aytdm/springbootjooq/domain/db/world/tables/Country.java,67,67,puuduva väärtuse tähistamiseks kasutusel tühi sõne
aytdm/study,31 Flavors,005_springboot-jooq/src/main/java/com/aytdm/springbootjooq/domain/db/world/tables/Country.java,72,72,asEnumDataType
aytdm/study,Fear of the Unknown,005_springboot-jooq/src/main/java/com/aytdm/springbootjooq/domain/db/world/tables/Country.java,77,77,puuduva väärtuse tähistamiseks kasutusel tühi sõne
aytdm/study,Rounding Errors,005_springboot-jooq/src/main/java/com/aytdm/springbootjooq/domain/db/world/tables/Country.java,82,82,statistiline väärtus
aytdm/study,Rounding Errors,005_springboot-jooq/src/main/java/com/aytdm/springbootjooq/domain/db/world/tables/Country.java,97,97,statistiline väärtus
aytdm/study,Rounding Errors,005_springboot-jooq/src/main/java/com/aytdm/springbootjooq/domain/db/world/tables/Country.java,102,102,statistiline väärtus
aytdm/study,Rounding Errors,005_springboot-jooq/src/main/java/com/aytdm/springbootjooq/domain/db/world/tables/Country.java,107,107,statistiline väärtus
aytdm/study,Fear of the Unknown,005_springboot-jooq/src/main/java/com/aytdm/springbootjooq/domain/db/world/tables/Country.java,112,112,puuduva väärtuse tähistamiseks kasutusel tühi sõne
aytdm/study,Keyless Entry,005_springboot-jooq/src/main/java/com/aytdm/springbootjooq/domain/db/world/tables/Country.java,127,127,viide city tabeli primaarvõtmele
aytdm/study,Fear of the Unknown,005_springboot-jooq/src/main/java/com/aytdm/springbootjooq/domain/db/world/tables/Country.java,117,117,puuduva väärtuse tähistamiseks kasutusel tühi sõne
aytdm/study,Fear of the Unknown,005_springboot-jooq/src/main/java/com/aytdm/springbootjooq/domain/db/world/tables/Country.java,132,132,puuduva väärtuse tähistamiseks kasutusel tühi sõne
aytdm/study,Fear of the Unknown,005_springboot-jooq/src/main/java/com/aytdm/springbootjooq/domain/db/world/tables/Countrylanguage.java,62,62,puuduva väärtuse tähistamiseks kasutusel tühi sõne
aytdm/study,Fear of the Unknown,005_springboot-jooq/src/main/java/com/aytdm/springbootjooq/domain/db/world/tables/Countrylanguage.java,67,67,puuduva väärtuse tähistamiseks kasutusel tühi sõne
aytdm/study,31 Flavors,005_springboot-jooq/src/main/java/com/aytdm/springbootjooq/domain/db/world/tables/Countrylanguage.java,72,72,asEnumDataType
aytdm/study,Rounding Errors,005_springboot-jooq/src/main/java/com/aytdm/springbootjooq/domain/db/world/tables/Countrylanguage.java,77,77,Protsent
aytdm/study,Implicit Columns,005_springboot-jooq/src/main/java/com/aytdm/springbootjooq/domain/repository/CityRepository.java,31,31,select().from(
aytdm/study,Implicit Columns,005_springboot-jooq/src/main/java/com/aytdm/springbootjooq/domain/repository/CountryRepository.java,19,19,select().from(
Blackdread/rest-filter,Poor Man’s Search Engine,src/main/java/org/blackdread/lib/restfilter/jooq/JooqFilterUtil.java,122,124,containsIgnoreCase/contains
Blackdread/rest-filter,Poor Man’s Search Engine,src/main/java/org/blackdread/lib/restfilter/jooq/JooqFilterUtil.java,127,129,notContainsIgnoreCase/notContains
Blackdread/rest-filter,Poor Man’s Search Engine,src/main/java/org/blackdread/lib/restfilter/jooq/JooqFilterUtil.java,161,161,containsIgnoreCase
Blackdread/rest-filter,Poor Man’s Search Engine,src/main/java/org/blackdread/lib/restfilter/jooq/JooqFilterUtil.java,164,164,notContainsIgnoreCase
Blackdread/rest-filter,Implicit Columns,src/test/java/org/blackdread/lib/restfilter/demo/JooqChildEntityQueryService.java,80,80,TABLE.fields()
Blackdread/rest-filter,Implicit Columns,src/test/java/org/blackdread/lib/restfilter/demo/JooqChildEntityQueryService.java,93,93,TABLE.fields()
Blackdread/rest-filter,Implicit Columns,src/test/java/org/blackdread/lib/restfilter/demo/JooqChildEntityQueryService.java,107,107,TABLE.fields()
Blackdread/rest-filter,ID Required,src/test/java/org/blackdread/lib/restfilter/demo/jooq/tables/ChildEntity.java,87,87,createField(“ID” suured tähed
Blackdread/rest-filter,Keyless Entry,src/test/java/org/blackdread/lib/restfilter/demo/jooq/tables/ChildEntity.java,137,137,viide parent_entity tabeli primaarvõtmele
Blackdread/rest-filter,ID Required,src/test/java/org/blackdread/lib/restfilter/demo/jooq/tables/ParentEntity.java,87,87,createField(“ID” suured tähed
Dankoy/jforwarder,ID Required,telegram_chat_service/src/main/java/ru/dankoy/telegramchatservice/core/domain/jooq/tables/Chats.java,46,52,"createField(DSL.name(""id"")"
Dankoy/jforwarder,Implicit Columns,telegram_chat_service/src/main/java/ru/dankoy/telegramchatservice/core/repository/TelegramChatDaoJooq.java,130,130,fetchOne
Dankoy/jforwarder,Implicit Columns,telegram_chat_service/src/main/java/ru/dankoy/telegramchatservice/core/repository/TelegramChatDaoJooq.java,154,154,fetchOne
Dankoy/jforwarder,Implicit Columns,telegram_chat_service/src/main/java/ru/dankoy/telegramchatservice/core/repository/TelegramChatDaoJooq.java,179,179,select().from(
Dankoy/jforwarder,Implicit Columns,telegram_chat_service/src/main/java/ru/dankoy/telegramchatservice/core/repository/TelegramChatDaoJooq.java,198,198,select().from(
Dankoy/jforwarder,Implicit Columns,telegram_chat_service/src/main/java/ru/dankoy/telegramchatservice/core/repository/TelegramChatDaoJooq.java,214,214,returning()
Dankoy/jforwarder,Implicit Columns,telegram_chat_service/src/main/java/ru/dankoy/telegramchatservice/core/repository/TelegramChatDaoJooq.java,240,240,returning()
Dankoy/jforwarder,Poor Man’s Search Engine,telegram_chat_service/src/main/java/ru/dankoy/telegramchatservice/core/repository/conditionscreator/TelegramChatConditions.java,24,24,LIKE tundmatu sisendiga
Dankoy/jforwarder,Poor Man’s Search Engine,telegram_chat_service/src/main/java/ru/dankoy/telegramchatservice/core/repository/conditionscreator/TelegramChatConditions.java,26,26,LIKE tundmatu sisendiga
Dankoy/jforwarder,Poor Man’s Search Engine,telegram_chat_service/src/main/java/ru/dankoy/telegramchatservice/core/repository/conditionscreator/TelegramChatConditions.java,28,28,LIKE tundmatu sisendiga
Dankoy/jforwarder,Poor Man’s Search Engine,telegram_chat_service/src/main/java/ru/dankoy/telegramchatservice/core/repository/conditionscreator/TelegramChatConditions.java,30,30,LIKE tundmatu sisendiga
Dankoy/jforwarder,Poor Man’s Search Engine,telegram_chat_service/src/main/java/ru/dankoy/telegramchatservice/core/repository/conditionscreator/TelegramChatConditions.java,31,31,LIKE tundmatu sisendiga
Dankoy/jforwarder,Implicit Columns,telegram_chat_service/src/test/java/ru/dankoy/telegramchatservice/core/repository/TelegramChatDaoJooqTest.java,46,46,returning()
Dankoy/jforwarder,Implicit Columns,telegram_chat_service/src/test/java/ru/dankoy/telegramchatservice/core/repository/TelegramChatDaoJooqTest.java,64,64,returning()
Dankoy/jforwarder,Implicit Columns,telegram_chat_service/src/test/java/ru/dankoy/telegramchatservice/core/repository/TelegramChatDaoJooqTest.java,90,90,returning()
Dankoy/jforwarder,Implicit Columns,telegram_chat_service/src/test/java/ru/dankoy/telegramchatservice/core/repository/TelegramChatDaoJooqTest.java,119,119,select().from(
Dankoy/jforwarder,Implicit Columns,telegram_chat_service/src/test/java/ru/dankoy/telegramchatservice/core/repository/TelegramChatDaoJooqTest.java,135,135,returning()
Dankoy/jforwarder,Implicit Columns,telegram_chat_service/src/test/java/ru/dankoy/telegramchatservice/core/repository/TelegramChatDaoJooqTest.java,144,144,select().from(
DiamondArt/Java-jooq,ID Required,src/main/java/com/eburtis/learnjooqs/domain/generated/jooq/tables/Author.java,55,55,"createField(DSL.name(""id"")"
DiamondArt/Java-jooq,ID Required,src/main/java/com/eburtis/learnjooqs/domain/generated/jooq/tables/Book.java,55,55,"createField(DSL.name(""id"")"
DiamondArt/Java-jooq,ID Required,src/main/java/com/eburtis/learnjooqs/domain/generated/jooq/org/jooq/codegen/maven/example/tables/Author.java,55,55,"createField(DSL.name(""id"")"
DiamondArt/Java-jooq,ID Required,src/main/java/com/eburtis/learnjooqs/domain/generated/jooq/org/jooq/codegen/maven/example/tables/Book.java,55,55,"createField(DSL.name(""id"")"
DiamondArt/Java-jooq,Implicit Columns,src/main/java/com/eburtis/learnjooqs/domain/AuthorRepository.java,25,25,selectFrom(
DiamondArt/Java-jooq,Implicit Columns,src/main/java/com/eburtis/learnjooqs/domain/AuthorRepository.java,33,33,selectFrom(
DiamondArt/Java-jooq,Implicit Columns,src/main/java/com/eburtis/learnjooqs/infrastructure/AuhtorServiceImplementation.java,27,27,selectFrom(
DiamondArt/Java-jooq,Implicit Columns,src/main/java/com/eburtis/learnjooqs/infrastructure/AuhtorServiceImplementation.java,35,35,selectFrom(
DrBrother/notification-system,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/dao/jooq/JooqChatDAOImpl.java,42,42,select(TABLE).from(TABLE)
DrBrother/notification-system,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/dao/jooq/JooqLinkDAOImpl.java,51,51,select(TABLE).from(TABLE)
DrBrother/notification-system,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/dao/jooq/JooqLinkDAOImpl.java,61,61,select(TABLE).from(TABLE)
DrBrother/notification-system,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/dao/jooq/JooqLinkDAOImpl.java,72,72,select(TABLE).from(TABLE)
DrBrother/notification-system,Implicit Columns,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/dao/jooq/JooqSubscriptionDAOImpl.java,40,40,select(TABLE).from(TABLE)
DrBrother/notification-system,ID Required,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/entity/jooq/tables/Chat.java,66,66,"createField(DSL.name(""id"")"
DrBrother/notification-system,ID Required,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/entity/jooq/tables/Link.java,70,70,"createField(DSL.name(""id"")"
DrBrother/notification-system,Fear of the Unknown,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/entity/jooq/tables/Link.java,80,80,Should be non-nullable
DrBrother/notification-system,Fear of the Unknown,scrapper/src/main/java/ru/tinkoff/edu/java/scrapper/entity/jooq/tables/Link.java,85,85,Should be non-nullable
Hellblazer/quantum-db,ID Required,qdb-core/src/main/java/com/apollo/qdb/quantumdbSchema/tables/Changesets.java,53,53,"createField(DSL.name(""id"") suured tähed + version_id sobiks primaarvõtmeks"
Hellblazer/quantum-db,ID Required,qdb-core/src/main/java/com/apollo/qdb/quantumdbSchema/tables/ColumnMappings.java,53,53,"createField(DSL.name(""id"") suured tähed + source + target kombinatsioon sobiks primaarvõtmeks"
Hellblazer/quantum-db,ID Required,qdb-core/src/main/java/com/apollo/qdb/quantumdbSchema/tables/Synchronizers.java,53,53,"createField(DSL.name(""id"") suured tähed + source + target kombinatsioon sobiks primaarvõtmeks"
Hellblazer/quantum-db,ID Required,qdb-core/src/main/java/com/apollo/qdb/quantumdbSchema/tables/TableColumns.java,53,53,"createField(DSL.name(""id"") suured tähed + ref_id + column_name kombinatsioon sobiks primaarvõtmeks"
Hellblazer/quantum-db,Implicit Columns,qdb-postgres/src/main/java/io/quantumdb/core/planner/CatalogLoader.java,172,172,selectFrom(
Hixon10/spring-boot-security,ID Required,src/generated/jooq/ru/hixon/microservice/tables/Users.java,61,61,createField(“id”
Hixon10/spring-boot-security,Implicit Columns,src/main/java/ru/hixon/microservice/repository/UserRepository.java,28,28,selectFrom(
jasontran320/texera_compose,31 Flavors,core/amber/src/main/scala/edu/uci/ics/texera/web/model/jooq/generated/tables/ProjectUserAccess.java,65,65,asEnumDataType
jasontran320/texera_compose,Keyless Entry,core/amber/src/main/scala/edu/uci/ics/texera/web/model/jooq/generated/tables/PublicProject.java,59,59,viide user tabeli primaarvõtmele
jasontran320/texera_compose,31 Flavors,core/amber/src/main/scala/edu/uci/ics/texera/web/model/jooq/generated/tables/User.java,81,81,asEnumDataType
jasontran320/texera_compose,31 Flavors,core/amber/src/main/scala/edu/uci/ics/texera/web/model/jooq/generated/tables/UserFileAccess.java,65,65,asEnumDataType
jasontran320/texera_compose,Fear of the Unknown,core/amber/src/main/scala/edu/uci/ics/texera/web/model/jooq/generated/tables/WorkflowExecutions.java,91,91,Should be non-nullable
jasontran320/texera_compose,31 Flavors,core/amber/src/main/scala/edu/uci/ics/texera/web/model/jooq/generated/tables/WorkflowUserAccess.java,65,65,asEnumDataType
jasontran320/texera_compose,Implicit Columns,core/archive/old-engine/web/src/main/java/edu/uci/ics/texera/web/resource/WorkflowResource.java,62,62,DAO.fetchOneByWid
jasontran320/texera_compose,Implicit Columns,core/archive/old-engine/web/src/main/java/edu/uci/ics/texera/web/resource/WorkflowResource.java,96,96,TABLE.fields()
jasontran320/texera_compose,Implicit Columns,core/archive/old-engine/web/src/main/java/edu/uci/ics/texera/web/resource/WorkflowResource.java,116,116,DAO.fetchOneByWid
jOOQ/demo,Fear of the Unknown,jOOQ-demo-oss/jOOQ-demo-java/src/main/java/org/jooq/demo/java/db/tables/Customer.java,115,115,Should be non-nullable
jOOQ/demo,Fear of the Unknown,jOOQ-demo-oss/jOOQ-demo-java/src/main/java/org/jooq/demo/java/db/tables/Film.java,124,124,Should be non-nullable
jOOQ/demo,31 Flavors,jOOQ-demo-oss/jOOQ-demo-java/src/main/java/org/jooq/demo/java/db/tables/Film.java,124,124,asEnumDataType
jOOQ/demo,31 Flavors,jOOQ-demo-oss/jOOQ-demo-java/src/main/java/org/jooq/demo/java/db/tables/FilmList.java,84,84,asEnumDataType
jOOQ/demo,31 Flavors,jOOQ-demo-oss/jOOQ-demo-java/src/main/java/org/jooq/demo/java/db/tables/NicerButSlowerFilmList.java,84,84,asEnumDataType
jOOQ/demo,Implicit Columns,jOOQ-demo-oss/jOOQ-demo-java/src/test/java/org/jooq/demo/java/Demo01Querying.java,118,118,selectFrom(
jOOQ/demo,Implicit Columns,jOOQ-demo-oss/jOOQ-demo-java/src/test/java/org/jooq/demo/java/Demo01Querying.java,349,349,select(TABLE) + implicit joini kõik veerud
jOOQ/demo,Poor Man’s Search Engine,jOOQ-demo-oss/jOOQ-demo-java/src/test/java/org/jooq/demo/java/Demo03Functions.java,66,66,like(‘%’ … ‘%’)
jOOQ/demo,Poor Man’s Search Engine,jOOQ-demo-oss/jOOQ-demo-java/src/test/java/org/jooq/demo/java/Demo03Functions.java,92,92,like(‘%’ … ‘%’)
jOOQ/demo,Implicit Columns,jOOQ-demo-oss/jOOQ-demo-java/src/test/java/org/jooq/demo/java/Demo04DML.java,35,35,selectFrom(
jOOQ/demo,Implicit Columns,jOOQ-demo-oss/jOOQ-demo-java/src/test/java/org/jooq/demo/java/Demo06Transactions.java,32,32,fetch
jOOQ/demo,Implicit Columns,jOOQ-demo-oss/jOOQ-demo-java/src/test/java/org/jooq/demo/java/Demo06Transactions.java,48,48,fetchOne
jOOQ/demo,Implicit Columns,jOOQ-demo-oss/jOOQ-demo-java/src/test/java/org/jooq/demo/java/Demo06Transactions.java,56,56,fetch
jOOQ/demo,Implicit Columns,jOOQ-demo-oss/jOOQ-demo-java/src/test/java/org/jooq/demo/java/Demo06Transactions.java,83,83,fetch
jOOQ/demo,Implicit Columns,jOOQ-demo-oss/jOOQ-demo-java/src/test/java/org/jooq/demo/java/Demo06Transactions.java,91,91,fetch
jOOQ/demo,Implicit Columns,jOOQ-demo-oss/jOOQ-demo-java/src/test/java/org/jooq/demo/java/Demo06Transactions.java,101,101,fetch
jOOQ/demo,Implicit Columns,jOOQ-demo-oss/jOOQ-demo-java/src/test/java/org/jooq/demo/java/Demo06Transactions.java,130,130,fetch
jOOQ/demo,Implicit Columns,jOOQ-demo-oss/jOOQ-demo-java/src/test/java/org/jooq/demo/java/Demo06Transactions.java,141,141,fetch
jOOQ/demo,Implicit Columns,jOOQ-demo-oss/jOOQ-demo-java/src/test/java/org/jooq/demo/java/Demo08ImportExportAndMore.java,54,54,fetch
jOOQ/demo,Implicit Columns,jOOQ-demo-oss/jOOQ-demo-java/src/test/java/org/jooq/demo/java/Demo08ImportExportAndMore.java,85,85,fetch
jOOQ/demo,Implicit Columns,jOOQ-demo-oss/jOOQ-demo-java/src/test/java/org/jooq/demo/java/Demo08ImportExportAndMore.java,112,112,fetch
